 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 01/12/2012   17:49:40
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:49:40  |  General  |  Info  |  PluginManager successfully initialized  |  .\src\MyGUI_PluginManager.cpp  |  40
17:49:40  |  General  |  Info  |  * Initialise: LanguageManager  |  .\src\MyGUI_LanguageManager.cpp  |  37
17:49:40  |  General  |  Info  |  LanguageManager successfully initialized  |  .\src\MyGUI_LanguageManager.cpp  |  44
17:49:40  |  General  |  Info  |  Load ini file 'core_keyboard.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:49:40  |  General  |  Info  |  Load ini file 'core_language.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:49:40  |  General  |  Info  |  Load ini file 'core_layer.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:49:40  |  General  |  Info  |  Load ini file 'theme_black_font.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:49:40  |  General  |  Info  |  Load ini file 'theme_black.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:49:40  |  General  |  Info  |  Load ini file 'core_resource.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:49:40  |  General  |  Info  |  Load ini file 'core_menu_resource.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:49:40  |  General  |  Error  |  ResourceManager : 'core_menu_resource.xml', 'Failed to open XML file' ,  file='core_menu_resource.xml' ,  line=0 ,  col=0  |  .\src\MyGUI_ResourceManager.cpp  |  204
17:49:40  |  General  |  Info  |  Load ini file 'black_skin.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:49:40  |  General  |  Info  |  Load ini file 'core_pointer.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:49:40  |  General  |  Info  |  Gui successfully initialized  |  .\src\MyGUI_Gui.cpp  |  112
17:49:40  |  General  |  Info  |  Font 'Default' using texture size 1024 x 128  |  .\src\MyGUI_Font.cpp  |  205
17:49:40  |  General  |  Info  |  Font 'Default' using real height 18 pixels  |  .\src\MyGUI_Font.cpp  |  206
17:49:42  |  General  |  Error  |  ResourceManager : 'visual_menu_resources.xml', 'Failed to open XML file' ,  file='visual_menu_resources.xml' ,  line=0 ,  col=0  |  .\src\MyGUI_ResourceManager.cpp  |  204
17:49:49  |  General  |  Info  |  Font 'Identifier' using texture size 1024 x 256  |  .\src\MyGUI_Font.cpp  |  205
17:49:49  |  General  |  Info  |  Font 'Identifier' using real height 36 pixels  |  .\src\MyGUI_Font.cpp  |  206
17:50:37  |  General  |  Info  |  Font 'Head' using texture size 1024 x 256  |  .\src\MyGUI_Font.cpp  |  205
17:50:37  |  General  |  Info  |  Font 'Head' using real height 26 pixels  |  .\src\MyGUI_Font.cpp  |  206
18:00:33  |  General  |  Info  |  * Shutdown: Gui  |  .\src\MyGUI_Gui.cpp  |  119
18:00:33  |  General  |  Info  |  * Shutdown: PointerManager  |  .\src\MyGUI_PointerManager.cpp  |  57
18:00:33  |  General  |  Info  |  PointerManager successfully shutdown  |  .\src\MyGUI_PointerManager.cpp  |  67
18:00:33  |  General  |  Info  |  * Shutdown: InputManager  |  .\src\MyGUI_InputManager.cpp  |  81
18:00:33  |  General  |  Info  |  InputManager successfully shutdown  |  .\src\MyGUI_InputManager.cpp  |  87
18:00:33  |  General  |  Info  |  * Shutdown: SkinManager  |  .\src\MyGUI_SkinManager.cpp  |  53
18:00:33  |  General  |  Info  |  SkinManager successfully shutdown  |  .\src\MyGUI_SkinManager.cpp  |  64
18:00:33  |  General  |  Info  |  * Shutdown: SubWidgetManager  |  .\src\MyGUI_SubWidgetManager.cpp  |  56
18:00:33  |  General  |  Info  |  SubWidgetManager successfully shutdown  |  .\src\MyGUI_SubWidgetManager.cpp  |  67
18:00:33  |  General  |  Info  |  * Shutdown: LayerManager  |  .\src\MyGUI_LayerManager.cpp  |  80
18:00:33  |  General  |  Info  |  destroy layer 'Back'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'Overlapped'  |  .\src\MyGUI_LayerManager.cpp  |  292
18:00:33  |  General  |  Info  |  destroy layer 'Middle'  |  .\src\MyGUI_LayerManager.cpp  |  292
